ngram,count_all,count_high,share_all,share_high,lift_high_vs_all
100만원 1000일,5,5,2.0758085274214305e-05,0.00020033656542992227,9.651013703021077
주사파 사노맹,5,5,2.0758085274214305e-05,0.00020033656542992227,9.651013703021077
원재료 50,4,4,1.6606468219371444e-05,0.0001602692523439378,9.651013703021077
코로나 영국임상,4,4,1.6606468219371444e-05,0.0001602692523439378,9.651013703021077
영국임상 결과,4,4,1.6606468219371444e-05,0.0001602692523439378,9.651013703021077
결과 논문,4,4,1.6606468219371444e-05,0.0001602692523439378,9.651013703021077
논문 실리네,4,4,1.6606468219371444e-05,0.0001602692523439378,9.651013703021077
홈피 공지,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
의사파업 지지,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
지지 청원,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
어떻게 보십니까,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
고대 안산병원,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
ira 최고수혜,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
염승환 이사님이,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
이사님이 엔터주는,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
이낙연 아들,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
100만원 000일,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
50 수입,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
속보 g20서,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
g20서 한국,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
한국 2050년까지,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
2050년까지 석탄발전,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
석탄발전 전면,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
전면 폐기,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
한국거래소 신종코로나,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
신종코로나 관련,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
관련 집중,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
집중 모니터링,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
이거 사실일까,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
다음주 주가,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
한마디 해준다,3,3,1.2454851164528584e-05,0.00012020193925795337,9.651013703021077
주식 매수한,11,11,4.5667787603271476e-05,0.000440740443945829,9.651013703021075
매수한 사람들은,11,11,4.5667787603271476e-05,0.000440740443945829,9.651013703021075
사람들은 좃됐네요,11,11,4.5667787603271476e-05,0.000440740443945829,9.651013703021075
26년 주가전망,9,8,3.736455349358575e-05,0.0003205385046878756,8.578678847129844
올해 주식,13,11,5.39710217129572e-05,0.000440740443945829,8.166242364094757
램시마 코로나,6,5,2.4909702329057167e-05,0.00020033656542992227,8.04251141918423
msci 편입,6,5,2.4909702329057167e-05,0.00020033656542992227,8.04251141918423
다음주 예상,5,4,2.0758085274214305e-05,0.0001602692523439378,7.72081096241686
하나만 물어보자,5,4,2.0758085274214305e-05,0.0001602692523439378,7.72081096241686
문대통령은 연임되어야한다,5,4,2.0758085274214305e-05,0.0001602692523439378,7.72081096241686
안철수는 죽어도,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
죽어도 찍는다,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
관련주 맞나요,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
들어가도 될까요,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
내일 상한가네,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
개발 기대,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
핵실험 임박했나,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
임박했나 도발중단,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
도발중단 비핵화,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
비핵화 조치,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
조치 촉구,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
촉구 다자무대,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
다자무대 공동발표,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
떨어지는 칼날은,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
공식 트위터입니다,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
매우중요필독 화요일,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
화요일 주가예상,4,3,1.6606468219371444e-05,0.00012020193925795337,7.238260277265807
백신 개발,11,8,4.5667787603271476e-05,0.0003205385046878756,7.0189190567426
우보천리 대박뉴스,14,10,5.812263876780006e-05,0.00040067313085984454,6.893581216443626
잠이 안오네요,6,4,2.4909702329057167e-05,0.0001602692523439378,6.434009135347384
상한가 7종목,6,4,2.4909702329057167e-05,0.0001602692523439378,6.434009135347384
안녕하세요 휴마시스,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
휴마시스 주주입니다,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
운기분석 천지오륜장,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
글을 보고,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
000원 이상,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
미증시 폭락중,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
고점 시총,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
시총 11조,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
11조 휴머니젠,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
휴머니젠 8천억,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
이해가 안되서,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
대한 의견,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
방금 9시뉴스,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
다음주 상한가,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
상한가 축하,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
씨젠에서 왔습니다,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
우한폐렴보다 문재가,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
문재가 다가온다,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
4일 연속,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
주식하면서 가장,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
가장 중요한,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
효과 확인,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
이거 얼마에,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
삼성전자 파운드리,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
한국인 입국,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
즐거운 주말,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
미국 탈레반,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
이해가 안감,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
매출 예상,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
연구소 몇주,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
몇주 안에,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
안에 코로나19,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
남아공 임상승인,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
싶은 사람,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
26년 주가,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
또한 지나가리,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
오늘 같은,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
주린이를 위한,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
ira 세부,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
예방율 86,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
아직도 들고,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
패시브 자금,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
대국민 사기극,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
공시 떴다,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
인도 수출,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
내일 저녁,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
vs 한동훈,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
거래량 터지면,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
속보 이스라엘,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
이스라엘 레바논서,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
레바논서 제한적,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
제한적 지상전,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
지상전 계획,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
계획 시작,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
보거라 형이다,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
06 30,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
인도 바이어,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
1조원 투입,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
중국아픔이 우리아픔,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
우리아픔 쩝쩝,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
난리가 났네,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
플랫폼 act,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
개발 완료,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
반대매매 터진다,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
계속 매수,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
무상주 배정,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
든든하다 혔냐,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
잡것들 딴데가서,3,2,1.2454851164528584e-05,8.01346261719689e-05,6.434009135347384
