candidate,published_at,company_code,views,comment,title
회사로,2020-03-31 23:42:00,053980,2714,19,FDA에서 회사로 통보받음
회사로,2024-01-31 23:46:00,028300,469,13,■■ jase 글은 회사로 보냈습니다
회사로,2024-11-30 23:39:00,047820,3256,0,이 회사로 인해
회사로,2020-03-31 23:51:00,053980,1039,2,FDA에서 회사로 통보받음
회사로,2026-01-31 23:19:00,348340,1187,1,야들아 뉴로 자체회사만으로도  로봇회사로써는  좋은회사다
회사로,2021-05-31 23:12:00,078890,449,3,"가온미디어는 AI/OTT 단말, 네트워크 HW/SW 및 솔루션, 모바일 플랫폼 솔루션 개발 및 글로벌 수출하는 회사로서"
회사로,2024-02-29 23:11:00,016790,292,5,[공지] 사료회사로 돌아간다캤제?
회사로,2021-05-31 22:47:00,043610,1077,0,"지니뮤직은 KT의 자회사로, 음악 서비스 사업과 음악 콘텐츠 투자/유통을 전문으로 하는 회사이다."
회사로,2021-02-28 23:04:00,054300,289,2,팬스타는 부지를 활용해 거대 항만회사로거듭난다
회사로,2020-02-29 23:32:00,289080,245,0,여긴 좋은 회사가 아니라 투자회사로
고대,2020-07-31 23:04:00,019170,1015,10,고대 안산병원 임상시험중. 효과 확인 간호사
고대,2020-07-31 23:11:00,019170,1042,5,고대 안산병원 기사뜨면 문닫고 10연상
고대,2020-07-31 23:44:00,019170,726,4,"고대,질본,신풍이 미쳤냐?-----"
고대,2020-07-31 23:08:00,019170,848,3,고대 안산병원 임상 투약중
고대,2023-02-28 23:23:00,900140,663,1,문어발 라오스 삼성 엘브이 실권주 청약 물건너갔다.  내가 일주일전부터 그랬지 실권주로 엘브이 주식 받을 생각을 접어라.. 내말대로 고대로 됐다
고대,2025-12-31 20:22:00,440110,204,4,고대로 상장 폐지 하면 될 듯
고대,2020-12-31 22:04:00,195990,306,2,에이비주주님들새해복많이받고대박나요ㅎㅎ
고대,2023-06-30 22:53:00,005380,622,0,"출고대기 기간이 줄었다는데,"
고대,2021-01-31 23:35:00,019170,195,1,아니 누가사려고대기함
고대,2024-04-30 23:44:00,251270,178,0,레이븐2 차승원은 왜 ? 광고대행사 누구꺼냐
최고수혜,2023-03-31 23:30:00,003670,1383,6,☆IRA 최고수혜 : 앨엔에프
최고수혜,2023-03-31 23:32:00,247540,507,8,☆ IRA 최고수혜 : 엘앤에프 이유
최고수혜,2023-03-31 23:59:00,101670,692,5,☆IRA 최고수혜 : 엘앤에프
최고수혜,2021-08-31 23:13:00,000270,701,3,애플카협업 최고수혜 뉴인텍!!
최고수혜,2023-02-28 22:52:00,065370,468,1, 챗gpt 최고수혜업종은 AI빅데이터와클라우드업체입니다
최고수혜,2023-03-31 23:13:00,086520,112,1,☆IRA 엘엔에프가 최고수혜인이유
실리네,2020-10-31 21:48:00,068270,1190,4,●램시마 코로나 영국임상 결과 논문 실리네
