ngram,count
유상증자 주가하락,1
형들 내일,1
내일 한번,1
한번 갈까요,1
안티해도 찬티해도,1
이거 20만원,1
20만원 밑에서,1
밑에서 파는,1
파는 사람은,1
주가뽁등 예상,1
정상에서 물린사람,1
유증 신주인수권,1
대박 인수,1
인수 걱정무,1
비교를 하려면,1
하려면 제대로,1
제대로 해라,1
카나리아바이오에서 나왔습니다,1
삼전우만 빼고,1
빼고 폐기,1
폐기 처분했다,1
알테오젠의 공매도,1
공매도 잔고,1
잔고 대량,1
대량 보유자,1
5700원 올것뎅,1
뉴스 기사,1
기사 떴네요,1
떴네요 sbs,1
sbs 댓글,1
댓글 따봉,1
따봉 한방부탁요,1
상장3년안에 lo한다에,1
lo한다에 내기하실분,1
매도는 없다,1
셀리드 급등만,1
급등만 남았다,1
남았다 셀리드,1
셀리드 시총1조,1
시총1조 2906억,1
2906억 모더나,1
모더나 벤쳐기업에서,1
벤쳐기업에서 정부지원,1
정부지원 받고,1
받고 시총98조,1
시총98조 화이자,1
화이자 시총,1
시총 251조,1
기관외국인 대량매도와,1
대량매도와 대량공매도,1
월요일엔 상간다,1
아주 하고,1
하고 있네,1
오늘은 끝까지,1
끝까지 팔아제끼네,1
기다리는 자에게,1
자에게 복이,1
어둑어둑 해진다,1
해진다 간판불,1
간판불 켜고,1
역시나 전강후약,1
8년전에 안성,1
안성 멜파스,1
멜파스 다녔던,1
다녔던 사람입니다,1
얘기했죠 이거,1
이거 결국은,1
결국은 2천원이하로,1
2천원이하로 간다고,1
1530 50까지는,1
50까지는 하락안할것같고,1
중국 간첩,1
간첩 심각하게,1
심각하게 받아들여야,1
320억 어디갓냐,1
이제 가볍게,1
가볍게 올라갈,1
올라갈 준비가,1
준비가 되었나,1
되었나 봅니다,1
스톡옵션이 너무,1
너무 많아,1
조폭두목이 대통령인,1
대통령인 나라,1
소송관련해서 소액주주분들,1
소액주주분들 참석좀해주세요,1
kg그룹 인수,1
인수 가능성,1
12시4분 최저점,1
최저점 포착,1
오늘당 예상,1
침착맨은 솔직히,1
솔직히 안와도됨,1
14일 거래재개,1
내일 종가,1
8월 17일,1
17일 음봉의,1
음봉의 비밀,1
비밀 밝혀지나,1
노광민씨가 추천하면,1
추천하면 탈출하는데,1
코스메르나 출시앞두고,1
출시앞두고 개미,1
개미 털거같은데,1
누가 대통령,1
대통령 되면,1
올해 한번,1
한번 작년만큼,1
작년만큼 적자면,1
적자면 자본잠식이다,1
goodip 특허경매,1
먼데 갑자기,1
당국 영남대병원,1
영남대병원 코로나19,1
코로나19 검사,1
검사 신뢰도,1
신뢰도 높다,1
높다 검사재개,1
형들 2705팔,1
2705팔 형업써,1
고영주를 방통위원장으로,1
방통위원장으로 임명하면,1
임명하면 어떤현상이,1
어떤현상이 나올까,1
나올까 생각만해도,1
생각만해도 웃긴다,1
코스메르나 일반화장품,1
일반화장품 출시,1
출시 안할것,1
안할것 같은데요,1
메디포스트 상황,1
상황 정리한,1
정리한 기사,1
28 7층,1
7층 사람있어요,1
사람있어요 구조대,1
구조대 언제오죠,1
위메이드 본사,1
본사 ir담당자와,1
ir담당자와 연락후,1
연락후 얻은,1
얻은 답변,1
대한민국 민주화,1
이뮤노 에프터마켓,1
에프터마켓 회복한거,1
회복한거 보고,1
파주 민통선,1
민통선 야생멧돼지,1
야생멧돼지 폐사체,1
폐사체 7마리,1
7마리 아프리카돼지열병,1
아프리카돼지열병 바이러스,1
바이러스 검출,1
젤렌스키 내주,1
내주 10가지,1
10가지 복원,1
복원 계획,1
계획 발표,1
안티들아 니들은,1
니들은 눈이,1
눈이 없냐,1
조선내화가 수주했는데,1
수주했는데 이건,1
어제께 내가,1
내가 차트상,1
차트상 오후에,1
오후에 오른다고,1
최근의 증권사,1
증권사 23년,1
23년 적자,1
적자 리포트를,1
리포트를 보면서,1
보면서 정부가,1
정부가 전기요금을,1
전기요금을 제대로,1
제대로 인상에,1
인상에 의문,1
이브이 이아이디,1
이아이디 이트론,1
매수 타이밍,1
경북에서만 20명,1
20명 죽는,1
죽는 국가적,1
국가적 재난에,1
재난에 머하냐,1
낼떨어질이유가 없다,1
8천원 마빡에,1
마빡에 새겨라,1
sk에코 재건,1
재건 초청받는데,1
여기 대부순,1
대부순 물려,1
물려 낚시하는거들이에요믿지마요,1
이거 박셀바이오,1
박셀바이오 소식때문에,1
시외 떡락,1
떡락 5프로,1
5프로 아이고,1
아이고 배야,1
가입 해주세요,1
