ngram,count
이거,3
시간외,2
형들,2
내일,2
한번,2
예상,2
인수,2
제대로,2
기사,2
없다,2
셀리드,2
코스메르나,2
유상증자,1
주가하락,1
갈까요,1
상한가가,1
12000원위로,1
안티해도,1
찬티해도,1
20만원,1
밑에서,1
파는,1
사람은,1
주가뽁등,1
정상에서,1
물린사람,1
유증,1
신주인수권,1
대박,1
걱정무,1
쌍용차,1
비교를,1
하려면,1
해라,1
카나리아바이오에서,1
나왔습니다,1
삼전우만,1
빼고,1
폐기,1
처분했다,1
알테오젠의,1
공매도,1
잔고,1
대량,1
보유자,1
5700원,1
올것뎅,1
공시임박,1
뉴스,1
떴네요,1
sbs,1
댓글,1
따봉,1
한방부탁요,1
상장3년안에,1
lo한다에,1
내기하실분,1
매도는,1
급등만,1
남았다,1
시총1조,1
2906억,1
모더나,1
벤쳐기업에서,1
정부지원,1
받고,1
시총98조,1
화이자,1
시총,1
251조,1
기관외국인,1
대량매도와,1
대량공매도,1
월요일엔,1
상간다,1
아주,1
하고,1
있네,1
오늘은,1
끝까지,1
팔아제끼네,1
기다리는,1
자에게,1
복이,1
어둑어둑,1
해진다,1
간판불,1
켜고,1
역시나,1
전강후약,1
8년전에,1
안성,1
멜파스,1
다녔던,1
사람입니다,1
얼마까지,1
얘기했죠,1
결국은,1
2천원이하로,1
간다고,1
1530,1
50까지는,1
하락안할것같고,1
중국,1
간첩,1
심각하게,1
받아들여야,1
320억,1
어디갓냐,1
이제,1
가볍게,1
올라갈,1
준비가,1
되었나,1
봅니다,1
스톡옵션이,1
너무,1
많아,1
조폭두목이,1
대통령인,1
나라,1
대표야,1
소송관련해서,1
소액주주분들,1
참석좀해주세요,1
kg그룹,1
가능성,1
12시4분,1
최저점,1
포착,1
평단,1
오늘당,1
침착맨은,1
솔직히,1
안와도됨,1
14일,1
거래재개,1
종가,1
8월,1
17일,1
음봉의,1
비밀,1
밝혀지나,1
노광민씨가,1
추천하면,1
탈출하는데,1
출시앞두고,1
개미,1
털거같은데,1
누가,1
대통령,1
되면,1
올해,1
작년만큼,1
적자면,1
자본잠식이다,1
아니,1
goodip,1
특허경매,1
먼데,1
갑자기,1
당국,1
영남대병원,1
코로나19,1
검사,1
신뢰도,1
높다,1
검사재개,1
2705팔,1
형업써,1
무상증자,1
고영주를,1
방통위원장으로,1
임명하면,1
어떤현상이,1
나올까,1
생각만해도,1
웃긴다,1
일반화장품,1
출시,1
안할것,1
같은데요,1
메디포스트,1
상황,1
정리한,1
28,1
7층,1
사람있어요,1
구조대,1
언제오죠,1
위메이드,1
본사,1
ir담당자와,1
연락후,1
얻은,1
답변,1
대한민국,1
민주화,1
이뮤노,1
에프터마켓,1
