ngram,count
오늘,25
내일,10
이거,9
상한가,9
공매도,8
이제,8
오늘은,8
매도,7
주식,7
지금,7
삭제된,7
게시물의,7
답글,7
진짜,6
개미,6
시외,6
많이,6
실적,5
아직,5
중국,5
시간외,4
형들,4
매수,4
다시,4
종목,4
주식은,4
가자,4
제대로,4
속보,4
절대,4
여기,4
너무,4
종가,4
어제,4
내가,4
잡주,3
해라,3
내년,3
가즈아,3
누가,3
개미들,3
이렇게,3
미국,3
까지,3
아니,3
발표,3
솔직히,3
대박,3
인수,3
같은,3
대통령,3
항상,3
없다,3
시총,3
우려,3
물량,3
아직도,3
올해,3
오후에,3
하고,3
현대차,3
계속,3
이건,3
평단,3
보니,3
그냥,3
기관,3
슬슬,3
거래량,3
반도체,3
축하,3
그래,3
무조건,3
외인,3
10,3
한번,2
적당히,2
뭐냐,2
타이밍,2
하나,2
여전히,2
내일이,2
드디어,2
테마주,2
살아,2
주주,2
일단,2
똑같은,2
패턴,2
밑에서,2
주주들,2
돌파,2
하한가,2
하루,2
관련,2
이번주,2
예상,2
언제나,2
가장,2
하락,2
아니고,2
안티로,2
되었다,2
못하네,2
언제,2
노바디,2
다른종목,2
마지막,2
그래도,2
안티,2
댓글,2
전부,2
무슨,2
6500,2
긴급,2
1등,2
조금만,2
vi,2
찬티가,2
백신,2
진단키트,2
움직일때,2
튀어라,2
위메이드,2
자에게,2
복이,2
쪼옵,2
최소,2
뉴스,2
기사,2
주가,2
갈때,2
시원하게,2
기업,2
역시,2
회사,2
그래서,2
셀리드,2
받고,2
기관외국인,2
에코프로,2
안녕하세요,2
호가창,2
이재명이,2
아주,2
있네,2
목표가,2
000,2
대선,2
최고,2
적정주가,2
10프로,2
상보,2
연기금,2
본다,2
안된다,2
살려주세요,2
바닥,2
말하지만,2
어떻게,2
사라,2
단타,2
갑니다,2
변신,2
이젠,2
가라,2
색히,2
뭐다,2
가면,2
애플,2
프로그램,2
마감,2
sk는,2
안티들,2
미장,2
8월,2
주포,2
코스메르나,2
시작,2
대장,2
많네,2
분석,2
보고,2
할일도,2
금투세,2
갑자기,2
종가는,2
오늘부터,2
윗꼬리,2
신한,2
조금씩,2
올라야,2
근데,2
없는,2
지수,2
허허허,2
없이,2
개미들이,2
여러분,2
팩트,2
