company_code,dt,attn_volume,greed_count
000020,2025-12-01,8,0
000020,2025-12-02,3,1
000020,2025-12-03,7,0
000020,2025-12-04,5,0
000020,2025-12-05,6,0
000020,2025-12-06,1,0
000040,2025-12-01,1,0
000040,2025-12-04,1,0
000040,2025-12-05,2,0
000050,2025-12-01,2,0
000050,2025-12-02,4,0
000050,2025-12-03,18,0
000050,2025-12-04,33,1
000050,2025-12-05,18,0
000050,2025-12-06,6,0
000070,2025-12-01,10,0
000070,2025-12-02,12,0
000070,2025-12-03,2,0
000070,2025-12-04,2,0
000070,2025-12-05,6,1
000070,2025-12-06,2,0
000080,2025-12-01,30,0
000080,2025-12-02,41,0
000080,2025-12-03,41,1
000080,2025-12-04,51,0
000080,2025-12-05,35,0
000080,2025-12-06,10,0
000100,2025-12-01,122,3
000100,2025-12-02,154,2
000100,2025-12-03,99,0
000100,2025-12-04,190,1
000100,2025-12-05,180,1
000100,2025-12-06,36,1
000120,2025-12-01,5,1
000120,2025-12-02,8,0
000120,2025-12-03,33,0
000120,2025-12-04,17,1
000120,2025-12-05,8,0
000120,2025-12-06,1,0
000150,2025-12-01,27,0
000150,2025-12-02,17,0
000150,2025-12-03,14,0
000150,2025-12-04,5,0
000150,2025-12-05,7,0
000150,2025-12-06,1,0
000180,2025-12-01,2,0
000180,2025-12-02,5,0
000180,2025-12-03,15,0
000180,2025-12-04,3,0
000180,2025-12-05,4,0
000210,2025-12-01,2,0
000210,2025-12-02,4,0
000210,2025-12-03,7,0
000210,2025-12-04,8,0
000210,2025-12-05,2,0
000210,2025-12-06,1,0
000220,2025-12-02,3,0
000220,2025-12-03,1,0
000220,2025-12-06,1,0
000230,2025-12-01,5,0
000230,2025-12-02,13,0
000230,2025-12-03,13,0
000230,2025-12-04,11,0
000230,2025-12-05,11,0
000230,2025-12-06,2,0
000240,2025-12-01,2,0
000240,2025-12-02,2,0
000240,2025-12-03,1,0
000240,2025-12-04,1,0
000240,2025-12-05,2,0
000250,2025-12-01,69,0
000250,2025-12-02,95,3
000250,2025-12-03,73,0
000250,2025-12-04,124,3
000250,2025-12-05,94,2
000250,2025-12-06,10,0
000270,2025-12-01,55,0
000270,2025-12-02,55,1
000270,2025-12-03,58,0
000270,2025-12-04,124,3
000270,2025-12-05,191,2
000270,2025-12-06,14,0
000320,2025-12-04,1,0
000370,2025-12-01,3,0
000370,2025-12-02,1,0
000370,2025-12-03,2,0
000370,2025-12-04,2,0
000370,2025-12-05,3,0
000390,2025-12-01,1,0
000390,2025-12-02,2,0
000390,2025-12-03,9,1
000390,2025-12-04,3,1
000390,2025-12-05,3,0
000400,2025-12-01,10,0
000400,2025-12-02,7,0
000400,2025-12-03,7,0
000400,2025-12-04,5,0
000400,2025-12-05,3,0
000430,2025-12-01,3,0
000430,2025-12-02,2,0
000430,2025-12-03,4,1
000430,2025-12-04,1,0
000430,2025-12-05,3,0
000440,2025-12-01,1,0
000440,2025-12-03,3,1
000440,2025-12-04,4,1
000440,2025-12-05,2,0
000490,2025-12-01,2,0
000490,2025-12-02,12,1
000490,2025-12-03,4,0
000490,2025-12-04,4,0
000490,2025-12-05,7,0
000490,2025-12-06,1,0
000500,2025-12-01,3,0
000500,2025-12-02,4,0
000500,2025-12-03,3,1
000500,2025-12-05,4,0
000520,2025-12-01,3,0
000520,2025-12-02,3,0
000520,2025-12-03,5,0
000520,2025-12-04,6,0
000520,2025-12-05,8,0
000540,2025-12-02,1,0
000540,2025-12-04,2,0
000540,2025-12-05,3,0
000540,2025-12-06,1,0
000590,2025-12-03,1,0
000640,2025-12-01,1,0
000640,2025-12-02,6,0
000640,2025-12-03,4,0
000640,2025-12-04,4,0
000650,2025-12-01,136,6
000650,2025-12-02,654,37
000650,2025-12-03,914,54
000650,2025-12-04,2536,63
000650,2025-12-05,852,23
000650,2025-12-06,80,2
000660,2025-12-01,1014,11
000660,2025-12-02,870,14
000660,2025-12-03,1063,8
000660,2025-12-04,1321,12
000660,2025-12-05,1277,9
000660,2025-12-06,210,1
000670,2025-12-01,2,0
000670,2025-12-02,1,0
000670,2025-12-04,1,0
000670,2025-12-06,1,0
000680,2025-12-01,2,0
000680,2025-12-02,4,0
000680,2025-12-04,1,0
000680,2025-12-05,2,0
000700,2025-12-01,1,0
000700,2025-12-02,2,0
000720,2025-12-01,78,1
000720,2025-12-02,52,1
000720,2025-12-03,182,2
000720,2025-12-04,101,2
000720,2025-12-05,174,2
000720,2025-12-06,17,2
000760,2025-12-01,79,2
000760,2025-12-02,50,1
000760,2025-12-03,33,0
000760,2025-12-04,14,0
000760,2025-12-05,7,0
000760,2025-12-06,2,0
000810,2025-12-01,2,1
000810,2025-12-02,1,0
