company_code,dt,attn_volume,greed_count,greed_ratio
000660,2017-06-07,127,3,0.023622047244094488
000660,2017-06-08,60,1,0.016666666666666666
000660,2017-06-09,156,1,0.00641025641025641
000660,2017-06-10,131,0,0.0
005380,2017-06-07,54,0,0.0
005380,2017-06-08,21,0,0.0
005380,2017-06-09,44,1,0.022727272727272728
005380,2017-06-10,22,0,0.0
005930,2017-06-07,117,0,0.0
005930,2017-06-08,90,0,0.0
005930,2017-06-09,130,2,0.015384615384615385
005930,2017-06-10,79,1,0.012658227848101266
033100,2017-06-07,15,0,0.0
033100,2017-06-08,36,3,0.08333333333333333
033100,2017-06-09,18,0,0.0
033100,2017-06-10,2,0,0.0
080220,2017-06-07,1,0,0.0
080220,2017-06-08,2,0,0.0
105560,2017-06-07,4,0,0.0
105560,2017-06-08,5,0,0.0
105560,2017-06-09,6,0,0.0
190510,2017-06-07,1,0,0.0
190510,2017-06-08,4,0,0.0
190510,2017-06-09,5,0,0.0
000660,2017-06-11,108,1,0.009259259259259259
000660,2017-06-12,223,1,0.004484304932735426
000660,2017-06-13,233,2,0.008583690987124463
000660,2017-06-14,104,0,0.0
000660,2017-06-15,222,1,0.0045045045045045045
000660,2017-06-16,131,1,0.007633587786259542
000660,2017-06-17,34,1,0.029411764705882353
005380,2017-06-11,8,0,0.0
005380,2017-06-12,13,0,0.0
005380,2017-06-13,38,1,0.02631578947368421
005380,2017-06-14,31,0,0.0
005380,2017-06-15,54,2,0.037037037037037035
005380,2017-06-16,32,2,0.0625
005380,2017-06-17,14,1,0.07142857142857142
005930,2017-06-11,58,0,0.0
005930,2017-06-12,142,1,0.007042253521126761
005930,2017-06-13,84,1,0.011904761904761904
005930,2017-06-14,78,0,0.0
005930,2017-06-15,106,1,0.009433962264150943
005930,2017-06-16,87,0,0.0
005930,2017-06-17,70,1,0.014285714285714285
033100,2017-06-11,9,0,0.0
033100,2017-06-12,30,1,0.03333333333333333
033100,2017-06-13,17,0,0.0
033100,2017-06-14,21,0,0.0
033100,2017-06-15,29,0,0.0
033100,2017-06-16,10,0,0.0
033100,2017-06-17,5,0,0.0
080220,2017-06-11,1,0,0.0
080220,2017-06-12,5,0,0.0
080220,2017-06-13,4,0,0.0
080220,2017-06-16,1,0,0.0
105560,2017-06-12,3,0,0.0
105560,2017-06-13,2,0,0.0
105560,2017-06-14,1,0,0.0
105560,2017-06-15,9,0,0.0
105560,2017-06-17,3,0,0.0
190510,2017-06-14,1,0,0.0
190510,2017-06-15,1,0,0.0
190510,2017-06-16,1,0,0.0
000660,2017-06-18,24,0,0.0
000660,2017-06-19,168,3,0.017857142857142856
000660,2017-06-20,301,8,0.026578073089700997
000660,2017-06-21,407,4,0.009828009828009828
000660,2017-06-22,322,0,0.0
000660,2017-06-23,247,2,0.008097165991902834
000660,2017-06-24,231,1,0.004329004329004329
005380,2017-06-18,7,1,0.14285714285714285
005380,2017-06-19,27,0,0.0
005380,2017-06-20,15,0,0.0
005380,2017-06-21,42,0,0.0
005380,2017-06-22,13,0,0.0
005380,2017-06-23,11,0,0.0
005380,2017-06-24,8,0,0.0
005930,2017-06-18,31,0,0.0
005930,2017-06-19,147,1,0.006802721088435374
005930,2017-06-20,277,4,0.01444043321299639
005930,2017-06-21,156,2,0.01282051282051282
005930,2017-06-22,116,1,0.008620689655172414
005930,2017-06-23,100,2,0.02
005930,2017-06-24,65,0,0.0
033100,2017-06-18,4,0,0.0
033100,2017-06-19,8,2,0.25
033100,2017-06-20,20,0,0.0
033100,2017-06-21,11,0,0.0
033100,2017-06-22,17,0,0.0
033100,2017-06-23,12,0,0.0
033100,2017-06-24,13,0,0.0
080220,2017-06-19,1,0,0.0
080220,2017-06-20,4,0,0.0
080220,2017-06-21,1,0,0.0
080220,2017-06-23,3,0,0.0
105560,2017-06-19,2,0,0.0
105560,2017-06-20,2,0,0.0
105560,2017-06-21,1,0,0.0
105560,2017-06-22,3,0,0.0
105560,2017-06-23,2,0,0.0
105560,2017-06-24,1,0,0.0
190510,2017-06-19,3,0,0.0
190510,2017-06-20,1,0,0.0
190510,2017-06-22,5,0,0.0
190510,2017-06-23,3,0,0.0
000660,2017-06-25,243,3,0.012345679012345678
000660,2017-06-26,426,8,0.018779342723004695
000660,2017-06-27,493,10,0.02028397565922921
000660,2017-06-28,592,1,0.0016891891891891893
000660,2017-06-29,331,3,0.00906344410876133
000660,2017-06-30,271,3,0.01107011070110701
000660,2017-07-01,86,0,0.0
005380,2017-06-25,11,0,0.0
005380,2017-06-26,15,0,0.0
005380,2017-06-27,48,1,0.020833333333333332
005380,2017-06-28,18,0,0.0
005380,2017-06-29,34,0,0.0
005380,2017-06-30,51,0,0.0
005380,2017-07-01,60,0,0.0
005930,2017-06-25,68,0,0.0
005930,2017-06-26,153,1,0.006535947712418301
005930,2017-06-27,84,1,0.011904761904761904
005930,2017-06-28,82,0,0.0
005930,2017-06-29,81,2,0.024691358024691357
005930,2017-06-30,133,0,0.0
005930,2017-07-01,44,0,0.0
033100,2017-06-25,18,3,0.16666666666666666
033100,2017-06-26,21,1,0.047619047619047616
033100,2017-06-27,7,0,0.0
033100,2017-06-28,7,0,0.0
033100,2017-06-29,11,1,0.09090909090909091
033100,2017-06-30,32,3,0.09375
033100,2017-07-01,30,2,0.06666666666666667
080220,2017-06-25,1,0,0.0
080220,2017-06-27,6,0,0.0
080220,2017-06-28,2,0,0.0
080220,2017-06-29,5,1,0.2
080220,2017-06-30,4,0,0.0
080220,2017-07-01,1,0,0.0
105560,2017-06-25,1,0,0.0
105560,2017-06-26,2,0,0.0
105560,2017-06-27,2,0,0.0
105560,2017-06-28,7,1,0.14285714285714285
105560,2017-06-29,5,0,0.0
105560,2017-06-30,2,0,0.0
190510,2017-06-25,2,0,0.0
190510,2017-06-27,1,0,0.0
190510,2017-06-29,3,0,0.0
190510,2017-06-30,2,0,0.0
000660,2017-07-02,55,0,0.0
000660,2017-07-03,301,2,0.006644518272425249
000660,2017-07-04,209,1,0.004784688995215311
000660,2017-07-05,310,5,0.016129032258064516
000660,2017-07-06,241,1,0.004149377593360996
000660,2017-07-07,223,2,0.008968609865470852
000660,2017-07-08,62,0,0.0
005380,2017-07-02,66,0,0.0
005380,2017-07-03,38,0,0.0
005380,2017-07-04,84,0,0.0
005380,2017-07-05,78,0,0.0
005380,2017-07-06,44,0,0.0
005380,2017-07-07,137,1,0.0072992700729927005
005380,2017-07-08,32,0,0.0
005930,2017-07-02,67,0,0.0
005930,2017-07-03,74,1,0.013513513513513514
005930,2017-07-04,79,0,0.0
005930,2017-07-05,128,6,0.046875
005930,2017-07-06,131,2,0.015267175572519083
005930,2017-07-07,207,7,0.033816425120772944
005930,2017-07-08,74,1,0.013513513513513514
033100,2017-07-02,20,1,0.05
033100,2017-07-03,39,0,0.0
033100,2017-07-04,57,1,0.017543859649122806
033100,2017-07-05,34,0,0.0
033100,2017-07-06,45,0,0.0
033100,2017-07-07,70,1,0.014285714285714285
033100,2017-07-08,5,0,0.0
080220,2017-07-03,1,0,0.0
080220,2017-07-04,4,0,0.0
080220,2017-07-05,3,0,0.0
080220,2017-07-06,1,0,0.0
080220,2017-07-07,3,0,0.0
080220,2017-07-08,1,0,0.0
105560,2017-07-03,2,0,0.0
105560,2017-07-04,5,0,0.0
105560,2017-07-05,4,0,0.0
105560,2017-07-06,10,0,0.0
105560,2017-07-07,14,0,0.0
190510,2017-07-03,6,0,0.0
190510,2017-07-04,4,0,0.0
190510,2017-07-05,1,0,0.0
190510,2017-07-06,2,0,0.0
190510,2017-07-08,1,0,0.0
000660,2017-07-09,119,0,0.0
000660,2017-07-10,265,0,0.0
000660,2017-07-11,303,3,0.009900990099009901
000660,2017-07-12,192,2,0.010416666666666666
000660,2017-07-13,525,12,0.022857142857142857
000660,2017-07-14,240,2,0.008333333333333333
000660,2017-07-15,107,0,0.0
005380,2017-07-09,37,0,0.0
005380,2017-07-10,91,2,0.02197802197802198
005380,2017-07-11,74,0,0.0
005380,2017-07-12,43,1,0.023255813953488372
005380,2017-07-13,99,2,0.020202020202020204
005380,2017-07-14,60,2,0.03333333333333333
005380,2017-07-15,31,0,0.0
005930,2017-07-09,59,1,0.01694915254237288
005930,2017-07-10,136,1,0.007352941176470588
005930,2017-07-11,120,0,0.0
005930,2017-07-12,282,1,0.0035460992907801418
005930,2017-07-13,243,1,0.00411522633744856
005930,2017-07-14,216,3,0.013888888888888888
005930,2017-07-15,107,2,0.018691588785046728
033100,2017-07-09,3,0,0.0
033100,2017-07-10,24,0,0.0
033100,2017-07-11,17,0,0.0
033100,2017-07-12,9,1,0.1111111111111111
033100,2017-07-13,6,0,0.0
033100,2017-07-14,1,0,0.0
033100,2017-07-15,4,0,0.0
080220,2017-07-11,2,0,0.0
080220,2017-07-12,4,0,0.0
080220,2017-07-13,2,0,0.0
080220,2017-07-14,4,0,0.0
105560,2017-07-09,3,0,0.0
105560,2017-07-10,3,0,0.0
105560,2017-07-11,9,0,0.0
105560,2017-07-12,4,0,0.0
105560,2017-07-13,4,0,0.0
105560,2017-07-14,9,1,0.1111111111111111
105560,2017-07-15,1,0,0.0
190510,2017-07-10,6,0,0.0
190510,2017-07-11,2,0,0.0
190510,2017-07-12,3,0,0.0
190510,2017-07-13,9,0,0.0
190510,2017-07-14,27,0,0.0
190510,2017-07-15,1,0,0.0
000660,2017-07-16,172,2,0.011627906976744186
000660,2017-07-17,235,2,0.00851063829787234
000660,2017-07-18,237,1,0.004219409282700422
000660,2017-07-19,235,0,0.0
000660,2017-07-20,149,2,0.013422818791946308
000660,2017-07-21,164,0,0.0
000660,2017-07-22,85,0,0.0
005380,2017-07-16,14,0,0.0
005380,2017-07-17,68,0,0.0
005380,2017-07-18,101,0,0.0
005380,2017-07-19,66,0,0.0
005380,2017-07-20,99,0,0.0
005380,2017-07-21,52,0,0.0
005380,2017-07-22,6,0,0.0
005930,2017-07-16,101,0,0.0
005930,2017-07-17,126,0,0.0
005930,2017-07-18,113,1,0.008849557522123894
005930,2017-07-19,159,2,0.012578616352201259
005930,2017-07-20,141,1,0.0070921985815602835
005930,2017-07-21,111,2,0.018018018018018018
005930,2017-07-22,28,0,0.0
033100,2017-07-16,8,0,0.0
033100,2017-07-17,74,1,0.013513513513513514
033100,2017-07-18,22,0,0.0
033100,2017-07-19,25,1,0.04
033100,2017-07-20,41,1,0.024390243902439025
033100,2017-07-21,29,0,0.0
033100,2017-07-22,6,0,0.0
080220,2017-07-17,5,1,0.2
080220,2017-07-18,1,0,0.0
080220,2017-07-20,4,0,0.0
080220,2017-07-21,2,0,0.0
105560,2017-07-16,1,0,0.0
105560,2017-07-17,5,0,0.0
105560,2017-07-18,5,0,0.0
105560,2017-07-19,22,1,0.045454545454545456
105560,2017-07-20,24,0,0.0
105560,2017-07-21,21,1,0.047619047619047616
105560,2017-07-22,9,1,0.1111111111111111
190510,2017-07-16,1,0,0.0
190510,2017-07-17,3,0,0.0
190510,2017-07-18,8,0,0.0
190510,2017-07-19,1,0,0.0
190510,2017-07-21,3,0,0.0
190510,2017-07-22,3,0,0.0
000660,2017-07-23,73,0,0.0
000660,2017-07-24,352,6,0.017045454545454544
000660,2017-07-25,600,7,0.011666666666666667
000660,2017-07-26,1012,8,0.007905138339920948
000660,2017-07-27,421,4,0.009501187648456057
000660,2017-07-28,752,9,0.011968085106382979
000660,2017-07-29,154,0,0.0
005380,2017-07-23,12,0,0.0
005380,2017-07-24,72,0,0.0
005380,2017-07-25,84,2,0.023809523809523808
005380,2017-07-26,90,0,0.0
005380,2017-07-27,91,0,0.0
005380,2017-07-28,85,1,0.011764705882352941
005380,2017-07-29,12,0,0.0
005930,2017-07-23,39,0,0.0
005930,2017-07-24,82,0,0.0
005930,2017-07-25,150,0,0.0
005930,2017-07-26,182,0,0.0
005930,2017-07-27,171,1,0.005847953216374269
005930,2017-07-28,572,3,0.005244755244755245
005930,2017-07-29,97,0,0.0
033100,2017-07-23,5,0,0.0
033100,2017-07-24,17,0,0.0
