date,close
25/10/2019,"14,900"
28/10/2019,"14,300"
29/10/2019,"13,400"
30/10/2019,"12,900"
31/10/2019,"13,350"
01/11/2019,"12,300"
04/11/2019,"12,350"
05/11/2019,"11,650"
06/11/2019,"12,000"
07/11/2019,"11,700"
08/11/2019,"12,000"
11/11/2019,"12,450"
12/11/2019,"12,100"
13/11/2019,"11,850"
14/11/2019,"11,750"
15/11/2019,"11,900"
18/11/2019,"11,200"
19/11/2019,"10,900"
20/11/2019,"9,980"
21/11/2019,"9,280"
22/11/2019,"9,200"
25/11/2019,"9,470"
26/11/2019,"9,780"
27/11/2019,"9,460"
28/11/2019,"9,270"
29/11/2019,"9,130"
02/12/2019,"9,150"
03/12/2019,"8,960"
04/12/2019,"8,840"
05/12/2019,"8,120"
06/12/2019,"8,450"
09/12/2019,"8,690"
10/12/2019,"8,560"
11/12/2019,"8,510"
12/12/2019,"8,820"
13/12/2019,"9,430"
16/12/2019,"10,200"
17/12/2019,"11,550"
18/12/2019,"10,800"
19/12/2019,"11,200"
20/12/2019,"11,550"
23/12/2019,"11,450"
24/12/2019,"11,800"
26/12/2019,"11,800"
27/12/2019,"11,550"
30/12/2019,"11,800"
02/01/2020,"11,600"
03/01/2020,"11,450"
06/01/2020,"11,300"
07/01/2020,"11,150"
08/01/2020,"10,400"
09/01/2020,"10,800"
10/01/2020,"10,800"
13/01/2020,"10,450"
14/01/2020,"10,450"
15/01/2020,"10,550"
16/01/2020,"10,450"
17/01/2020,"10,550"
20/01/2020,"11,350"
21/01/2020,"11,200"
22/01/2020,"11,050"
23/01/2020,"10,900"
28/01/2020,"9,970"
29/01/2020,"9,720"
30/01/2020,"9,200"
31/01/2020,"8,730"
03/02/2020,"8,460"
04/02/2020,"8,600"
05/02/2020,"8,490"
06/02/2020,"8,900"
07/02/2020,"9,180"
10/02/2020,"9,180"
11/02/2020,"9,300"
12/02/2020,"9,310"
13/02/2020,"9,900"
14/02/2020,"9,690"
17/02/2020,"9,670"
18/02/2020,"9,250"
19/02/2020,"9,430"
20/02/2020,"9,260"
21/02/2020,"8,880"
24/02/2020,"8,010"
25/02/2020,"8,360"
26/02/2020,"8,280"
27/02/2020,"7,980"
28/02/2020,"7,550"
02/03/2020,"7,590"
03/03/2020,"7,870"
04/03/2020,"8,060"
05/03/2020,"8,670"
06/03/2020,"8,530"
09/03/2020,"7,850"
10/03/2020,"7,620"
11/03/2020,"6,700"
12/03/2020,"5,950"
13/03/2020,"4,990"
16/03/2020,"4,580"
17/03/2020,"4,715"
18/03/2020,"4,700"
19/03/2020,"4,000"
20/03/2020,"4,200"
23/03/2020,"3,670"
24/03/2020,"3,985"
25/03/2020,"4,540"
26/03/2020,"4,700"
27/03/2020,"4,900"
30/03/2020,"4,975"
31/03/2020,"5,080"
01/04/2020,"5,570"
02/04/2020,"5,620"
03/04/2020,"5,880"
06/04/2020,"5,950"
07/04/2020,"5,900"
08/04/2020,"6,070"
09/04/2020,"6,230"
10/04/2020,"6,180"
13/04/2020,"5,600"
14/04/2020,"5,740"
16/04/2020,"5,680"
17/04/2020,"5,900"
20/04/2020,"6,520"
21/04/2020,"6,430"
22/04/2020,"6,570"
23/04/2020,"6,750"
24/04/2020,"6,500"
27/04/2020,"6,430"
28/04/2020,"6,480"
29/04/2020,"6,570"
04/05/2020,"6,760"
06/05/2020,"7,370"
07/05/2020,"7,900"
08/05/2020,"9,050"
11/05/2020,"9,350"
12/05/2020,"9,740"
13/05/2020,"10,150"
14/05/2020,"9,750"
15/05/2020,"9,280"
18/05/2020,"8,780"
19/05/2020,"9,150"
20/05/2020,"9,300"
21/05/2020,"9,120"
22/05/2020,"8,920"
25/05/2020,"9,100"
26/05/2020,"9,140"
27/05/2020,"8,920"
28/05/2020,"8,300"
29/05/2020,"8,050"
01/06/2020,"8,340"
02/06/2020,"8,730"
03/06/2020,"8,820"
04/06/2020,"8,840"
05/06/2020,"9,000"
08/06/2020,"8,850"
09/06/2020,"8,400"
10/06/2020,"8,280"
